16          puzzle size (rows and columns)
 5  17      # border colours  # inside colours
Top Rgt Bot Lft
 0  4  1  0
 0  4  2  0
 0  3  5  0
 0  1  2  0
 0  2  9  1
 0  2 19  3
 0  2  9  2
 0  3  8  4
 0  5 12  3
 0  1 15  4
 0  1 15  2
 0  5 20  5
 0  1 12  1
 0  5 18  2
 0  5 12  1
 0  3  7  3
 0  1 14  1
 0  1 19  1
 0  4 22  3
 0  3 14  3
 0  2  6  3
 0  4 21  3
 0  5 19  3
 0  2 20  5
 0  1 12  2
 0  3  6  1
 0  1 10  5
 0  4 17  5
 0  5  6  1
 0  2  8  1
 0  1  7  5
 0  4 15  4
 0  3  6  2
 0  5 14  4
 0  2 15  4
 0  5 10  5
 0  2 11  4
 0  1 11  5
 0  4 10  1
 0  3 21  5
 0  1  9  4
 0  2 17  4
 0  1 18  5
 0  4  9  1
 0  3 10  2
 0  4  9  3
 0  3 15  2
 0  5 15  2
 0  2 22  2
 0  2  7  1
 0  5 11  3
 0  4 22  4
 0  3 20  5
 0  4 14  5
 0  4  8  4
 0  5 21  3
 0  5 21  4
 0  3  7  4
 0  2 21  3
 0  3 20  2
 7 20  8 21
12 12 11  8
 8 16 22 10
14 13  6 14
 9  8 17  9
15 10 12  8
20 11 14 14
20 21 15  6
13 21  8 18
 9 17 14 13
19 19 16  7
12 20  7 21
14 21 17 15
 9  8 11  6
18 19  8  9
 6 19 22  9
22 19 14 14
10 12 22 19
14 21 13  9
 7 21  9 12
12  6 15  7
11 22 22 10
16 16 13 21
20 20  6 13
22 11 18 22
19 15  7  9
 6 18  8 14
13  9 18 19
 6 10  9 20
 7 12 10 14
16 21 15 17
12 16 12 18
 7  7 11 11
20 10 16  6
17 17 16  7
13 16 19 21
16 13  6 13
 9 13  8 18
16 22 19 14
13 16 14 21
22  8 10 22
17  9 16 13
19 20 15 17
15 12 17 16
12  7 22 11
22  9 21 20
10 18 22 11
22  9 14 13
13  9 13 17
12  7 10 14
16 21 13 10
 8 20  7 18
 6 13 22 11
11 12 20 11
16 13 16 19
13 10 22 17
10  6 20 11
19 13 12 10
 9 21 19  7
12  8 15 21
12 22  6 14
22 18 14 15
21 17 16 13
17 11 18 12
11 13 22 19
 9 22  7 19
19 21 10 20
19 19 19  8
20 14 15  9
10 18 12  9
13 11 17  6
15  6 14  6
 6 21  8 17
15  7 18  8
18 20  7 12
14 19 20 21
 8  9 14 11
12 21 14 10
 8  9 21 20
11 18  7 18
22 17 13 12
14 14 22  8
17 10 22 18
18 19 12 17
15 11 20  7
 8 11 13 18
22 14 21 21
15 18 12 18
15 15 17 20
14 16 12 19
 7  9 10 16
 7 13 17 11
21 17 18 10
 8  6 17  8
17  7 19 22
14 19  6  7
11  9 11  7
16  8 14 18
22 18 12 11
11 21  6 21
18  9  9 12
17 15  6  9
21 18  6  9
19 10 15  6
14 11 20 10
14 16 12 16
18 10 22 17
19  8 11 20
17  8 10 21
18 17 12 21
14 10 11 22
12 21  7 12
 6 16  6 18
 7 19  6 13
11  7  7  9
14 14 16 16
17  7  9  7
 7 15  6 21
19 22 10  9
21  7 12 15
16 14 21 15
 6  9 15  6
 6 21 14 22
17 14 11 15
 6 10  7 13
10 17 16 18
15  6 10 19
16 16  8 20
18 22 10  9
16  7 22  6
19 16 16  6
14 14 12 22
18 18 15  7
22 15 14  6
11 18 13 20
13 17  8 16
 7 17 22 16
17  7 13 10
22 10  9  6
 8 20 15 11
13 15 16 20
 8 18  8  9
20  6  8 15
15 15 18 16
 8  6 16 19
13 12 12  7
20 11  6 15
 8 22 20 21
 8 20 20 18
17  8 13  8
15 11  9  7
 7 13 16 11
10 17 19 19
22 20 11 16
21 11 12 21
18 11 18 19
16  8 17 20
 9 20 18 10
 7 11 21 20
19 17 18 15
14 20  7 13
16 18  8 16
10 16 10  6
 6 11 21  9
 8  9 10 13
12 12 17 17
22 21 12  8
13 15 21  7
13 14 18 22
12  9 20 12
18 19 19 14
22 15 19 18
10 11  9 21
14  9  8 17
10 19 13 15
 6 13 10 11
 8 11 13 15
21 12 14 22
 8  6  8 11
18 22 13 16
16  9 17 13
17 20 19 13
12  8 19  8
20 13 16 15
10  7 17 17
15 15  8 18
20 10 12 10
10 13 11 17
10 17 20 11
19 15 15 16
20 18 17  7
 9 14 19 19
16  7 17 13
12  6 20 10
12 13 16 20
14 11  9 22
2x2 solution sets
